Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
ASA,logistic_regression,test,0.10344827586206896,0.01070154577883472,0.10344827586206896,0.01939655172413793
ASA,logistic_regression,train,0.8095238095238095,0.8370370370370371,0.8095238095238095,0.8055555555555555
ASA,logistic_regression,valid,0.8709677419354839,0.8900836320191159,0.8709677419354839,0.8546236559139785
ASA,lstm,test,0.10344827586206896,0.01070154577883472,0.10344827586206896,0.01939655172413793
ASA,lstm,train,0.8571428571428571,0.8705882352941176,0.8571428571428571,0.8558352402745995
ASA,lstm,valid,0.8387096774193549,0.8675115207373272,0.8387096774193549,0.80995917428555
ASA,svm,test,0.10344827586206896,0.01070154577883472,0.10344827586206896,0.01939655172413793
ASA,svm,train,0.9166666666666666,0.9188034188034189,0.9166666666666666,0.9165602383993188
ASA,svm,valid,0.8387096774193549,0.8690615835777125,0.8387096774193549,0.8458167173372291
ASA,transformer,test,0.10344827586206896,0.01070154577883472,0.10344827586206896,0.01939655172413793
ASA,transformer,train,0.8571428571428571,0.8705882352941176,0.8571428571428571,0.8558352402745995
ASA,transformer,valid,0.8709677419354839,0.8900836320191159,0.8709677419354839,0.8546236559139785
