Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
D2D,logistic_regression,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
D2D,logistic_regression,train,0.863013698630137,0.9315068493150684,0.863013698630137,0.87994016690285
D2D,logistic_regression,valid,0.8387096774193549,0.7034339229968783,0.8387096774193549,0.7651386530843237
D2D,lstm,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
D2D,lstm,train,0.863013698630137,0.744792644023269,0.863013698630137,0.7995568090249798
D2D,lstm,valid,0.8387096774193549,0.7034339229968783,0.8387096774193549,0.7651386530843237
D2D,svm,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
D2D,svm,train,0.863013698630137,0.744792644023269,0.863013698630137,0.7995568090249798
D2D,svm,valid,0.8387096774193549,0.7034339229968783,0.8387096774193549,0.7651386530843237
D2D,transformer,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
D2D,transformer,train,0.863013698630137,0.744792644023269,0.863013698630137,0.7995568090249798
D2D,transformer,valid,0.8387096774193549,0.7034339229968783,0.8387096774193549,0.7651386530843237
