Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
DLG,logistic_regression,test,0.5172413793103449,0.267538644470868,0.5172413793103449,0.3526645768025078
DLG,logistic_regression,train,0.9178082191780822,0.8423719271908425,0.9178082191780822,0.8784735812133073
DLG,logistic_regression,valid,0.5806451612903226,0.33714880332986474,0.5806451612903226,0.4265964450296248
DLG,lstm,test,0.5172413793103449,0.267538644470868,0.5172413793103449,0.3526645768025078
DLG,lstm,train,0.9178082191780822,0.8423719271908425,0.9178082191780822,0.8784735812133073
DLG,lstm,valid,0.5806451612903226,0.33714880332986474,0.5806451612903226,0.4265964450296248
DLG,svm,test,0.4827586206896552,0.23305588585017836,0.4827586206896552,0.3143544506816359
DLG,svm,train,0.0821917808219178,0.006755488834678176,0.0821917808219178,0.012484827466620427
DLG,svm,valid,0.41935483870967744,0.1758584807492196,0.41935483870967744,0.24780058651026396
DLG,transformer,test,0.5172413793103449,0.267538644470868,0.5172413793103449,0.3526645768025078
DLG,transformer,train,0.9178082191780822,0.8423719271908425,0.9178082191780822,0.8784735812133073
DLG,transformer,valid,0.5806451612903226,0.33714880332986474,0.5806451612903226,0.4265964450296248
