Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
HAT,logistic_regression,test,0.8275862068965517,0.8729582577132488,0.8275862068965517,0.8234064785788924
HAT,logistic_regression,train,0.95,0.9511278195488722,0.95,0.9499687304565352
HAT,logistic_regression,valid,0.8387096774193549,0.7034339229968783,0.8387096774193549,0.7651386530843237
HAT,lstm,test,0.8275862068965517,0.8729582577132488,0.8275862068965517,0.8234064785788924
HAT,lstm,train,0.975,0.9761904761904763,0.975,0.9749843652282676
HAT,lstm,valid,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419
HAT,svm,test,0.7586206896551724,0.7718052738336714,0.7586206896551724,0.7568903720182919
HAT,svm,train,0.9625,0.9651162790697676,0.9625,0.962447191362854
HAT,svm,valid,0.7419354838709677,0.6889400921658987,0.7419354838709677,0.7144563918757467
HAT,transformer,test,0.7241379310344828,0.8244514106583071,0.7241379310344828,0.704632532218739
HAT,transformer,train,0.9625,0.9651162790697676,0.9625,0.962447191362854
HAT,transformer,valid,0.8387096774193549,0.7034339229968783,0.8387096774193549,0.7651386530843237
