Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
HCM,logistic_regression,test,0.06896551724137931,0.0047562425683709865,0.06896551724137931,0.008898776418242492
HCM,logistic_regression,train,0.925,0.9260651629072681,0.925,0.924953095684803
HCM,logistic_regression,valid,0.0,0.0,0.0,0.0
HCM,lstm,test,0.1724137931034483,0.7477011494252873,0.1724137931034483,0.2380636604774536
HCM,lstm,train,0.7875,0.8214535290006989,0.7875,0.7817364788958434
HCM,lstm,valid,0.5161290322580645,1.0,0.5161290322580645,0.6808510638297872
HCM,svm,test,0.06896551724137931,0.0047562425683709865,0.06896551724137931,0.008898776418242492
HCM,svm,train,0.925,0.9260651629072681,0.925,0.924953095684803
HCM,svm,valid,0.0,0.0,0.0,0.0
HCM,transformer,test,0.06896551724137931,0.0047562425683709865,0.06896551724137931,0.008898776418242492
HCM,transformer,train,0.525,0.5694444444444444,0.525,0.4345238095238095
HCM,transformer,valid,0.0,0.0,0.0,0.0
