Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
HPP,logistic_regression,test,0.7931034482758621,0.6290130796670631,0.7931034482758621,0.7015915119363395
HPP,logistic_regression,train,0.9716981132075472,0.9732142857142856,0.9716981132075472,0.9716754253139753
HPP,logistic_regression,valid,0.4838709677419355,0.2836484983314794,0.4838709677419355,0.3576437587657784
HPP,lstm,test,0.7931034482758621,0.6290130796670631,0.7931034482758621,0.7015915119363395
HPP,lstm,train,0.8773584905660378,0.9015151515151515,0.8773584905660378,0.8754856781422247
HPP,lstm,valid,0.5483870967741935,0.3007284079084287,0.5483870967741935,0.3884408602150538
HPP,svm,test,0.20689655172413793,0.04280618311533888,0.20689655172413793,0.070935960591133
HPP,svm,train,0.9811320754716981,0.9818181818181817,0.9811320754716981,0.9811253561253561
HPP,svm,valid,0.7419354838709677,0.8357771260997067,0.7419354838709677,0.7309070857457954
HPP,transformer,test,0.7931034482758621,0.6290130796670631,0.7931034482758621,0.7015915119363395
HPP,transformer,train,0.8018867924528302,0.858108108108108,0.8018867924528302,0.7937934228809634
HPP,transformer,valid,0.5483870967741935,0.3007284079084287,0.5483870967741935,0.3884408602150538
