Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
NBP,logistic_regression,test,0.5862068965517241,0.3436385255648038,0.5862068965517241,0.4332833583208396
NBP,logistic_regression,train,0.9130434782608695,0.9259259259259259,0.9130434782608695,0.9123809523809523
NBP,logistic_regression,valid,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944
NBP,lstm,test,0.6551724137931034,0.7828863346104725,0.6551724137931034,0.5712046574115539
NBP,lstm,train,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9782608695652174
NBP,lstm,valid,0.9354838709677419,0.9408602150537634,0.9354838709677419,0.9328541374474054
NBP,svm,test,0.5862068965517241,0.3436385255648038,0.5862068965517241,0.4332833583208396
NBP,svm,train,0.9021739130434783,0.9181818181818181,0.9021739130434783,0.901228677084576
NBP,svm,valid,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944
NBP,transformer,test,0.5862068965517241,0.3436385255648038,0.5862068965517241,0.4332833583208396
NBP,transformer,train,0.8804347826086957,0.8955773955773957,0.8804347826086957,0.8792794942144816
NBP,transformer,valid,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944
