Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
NGC,logistic_regression,test,0.7241379310344828,0.7183908045977011,0.7241379310344828,0.7176043557168784
NGC,logistic_regression,train,0.9545454545454546,0.9583333333333333,0.9545454545454546,0.9544513457556936
NGC,logistic_regression,valid,0.8387096774193549,0.7548387096774194,0.8387096774193549,0.7945670628183362
NGC,lstm,test,0.7931034482758621,0.8448275862068966,0.7931034482758621,0.7690886699507389
NGC,lstm,train,0.9204545454545454,0.931372549019608,0.9204545454545454,0.9199480181936323
NGC,lstm,valid,0.8709677419354839,0.7585848074921956,0.8709677419354839,0.8109010011123471
NGC,svm,test,0.7586206896551724,0.7573891625615764,0.7586206896551724,0.748848247940807
NGC,svm,train,1.0,1.0,1.0,1.0
NGC,svm,valid,0.7741935483870968,0.7465437788018433,0.7741935483870968,0.7601173020527859
NGC,transformer,test,0.7241379310344828,0.7183908045977011,0.7241379310344828,0.7176043557168784
NGC,transformer,train,0.875,0.9,0.875,0.873015873015873
NGC,transformer,valid,0.8387096774193549,0.7548387096774194,0.8387096774193549,0.7945670628183362
