Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
PMS,logistic_regression,test,0.7241379310344828,0.5243757431629014,0.7241379310344828,0.6082758620689656
PMS,logistic_regression,train,0.9125,0.919047619047619,0.9125,0.912156862745098
PMS,logistic_regression,valid,0.5161290322580645,0.8185483870967742,0.5161290322580645,0.500960663363333
PMS,lstm,test,0.7241379310344828,0.5243757431629014,0.7241379310344828,0.6082758620689656
PMS,lstm,train,0.775,0.7864583333333333,0.775,0.7727272727272727
PMS,lstm,valid,0.4838709677419355,0.8141935483870967,0.4838709677419355,0.4578476551911087
PMS,svm,test,0.7241379310344828,0.5243757431629014,0.7241379310344828,0.6082758620689656
PMS,svm,train,0.875,0.9,0.875,0.8730158730158731
PMS,svm,valid,0.5806451612903226,0.8284457478005866,0.5806451612903226,0.5806451612903226
PMS,transformer,test,0.27586206896551724,0.07609988109393578,0.27586206896551724,0.11929170549860206
PMS,transformer,train,0.625,0.6302083333333333,0.625,0.6212121212121213
PMS,transformer,valid,0.5806451612903226,0.5309677419354839,0.5806451612903226,0.5520933424845573
