Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
SCO,logistic_regression,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
SCO,logistic_regression,train,0.8604651162790697,0.8733893557422969,0.8604651162790697,0.8592471358428805
SCO,logistic_regression,valid,0.6129032258064516,0.7852219465122692,0.6129032258064516,0.6335814722911496
SCO,lstm,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
SCO,lstm,train,0.9767441860465116,0.9777777777777777,0.9767441860465116,0.9767316017316017
SCO,lstm,valid,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419
SCO,svm,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
SCO,svm,train,0.9302325581395349,0.9311653116531166,0.9302325581395349,0.9301948051948051
SCO,svm,valid,0.7741935483870968,0.8396746622553074,0.7741935483870968,0.7873065827432467
SCO,transformer,test,0.1724137931034483,0.8045977011494254,0.1724137931034483,0.283975659229209
SCO,transformer,train,0.7674418604651163,0.8104205900816072,0.7674418604651163,0.7591036414565827
SCO,transformer,valid,0.41935483870967744,0.7112135176651304,0.41935483870967744,0.40967741935483876
