Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
SED,logistic_regression,test,0.6896551724137931,0.6846576711644177,0.6896551724137931,0.6629396922772474
SED,logistic_regression,train,0.9324324324324325,0.9327485380116959,0.9324324324324325,0.9324200913242009
SED,logistic_regression,valid,0.7419354838709677,0.8201612903225807,0.7419354838709677,0.7538200339558574
SED,lstm,test,0.6206896551724138,0.38525564803804996,0.6206896551724138,0.47542186353631694
SED,lstm,train,0.5,0.25,0.5,0.3333333333333333
SED,lstm,valid,0.7096774193548387,0.5036420395421436,0.7096774193548387,0.5891661594643944
SED,svm,test,0.4827586206896552,0.7811671087533156,0.4827586206896552,0.40287578218612696
SED,svm,train,0.9594594594594594,0.9624999999999999,0.9594594594594594,0.9593927199561002
SED,svm,valid,0.5483870967741935,0.82328190743338,0.5483870967741935,0.5418010752688173
SED,transformer,test,0.6206896551724138,0.38525564803804996,0.6206896551724138,0.47542186353631694
SED,transformer,train,0.8513513513513513,0.8643939393939394,0.8513513513513513,0.8500092131932927
SED,transformer,valid,0.7419354838709677,0.7871519161841742,0.7419354838709677,0.7524926686217009
