Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
SGS,logistic_regression,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
SGS,logistic_regression,train,0.9468085106382979,0.9519230769230769,0.9468085106382979,0.9466575871070253
SGS,logistic_regression,valid,0.967741935483871,0.9365244536940687,0.967741935483871,0.9518773135906927
SGS,lstm,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
SGS,lstm,train,0.9468085106382979,0.9519230769230769,0.9468085106382979,0.9466575871070253
SGS,lstm,valid,0.967741935483871,0.9365244536940687,0.967741935483871,0.9518773135906927
SGS,svm,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
SGS,svm,train,1.0,1.0,1.0,1.0
SGS,svm,valid,0.967741935483871,0.9365244536940687,0.967741935483871,0.9518773135906927
SGS,transformer,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
SGS,transformer,train,0.9680851063829787,0.9700000000000001,0.9680851063829787,0.9680525659907103
SGS,transformer,valid,0.967741935483871,0.9365244536940687,0.967741935483871,0.9518773135906927
