Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
SHB,logistic_regression,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
SHB,logistic_regression,train,0.9041095890410958,0.8174141489960592,0.9041095890410958,0.8585788903124076
SHB,logistic_regression,valid,0.9032258064516129,0.8158168574401664,0.9032258064516129,0.8572990705303445
SHB,lstm,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
SHB,lstm,train,0.9041095890410958,0.8174141489960592,0.9041095890410958,0.8585788903124076
SHB,lstm,valid,0.9032258064516129,0.8158168574401664,0.9032258064516129,0.8572990705303445
SHB,svm,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
SHB,svm,train,0.0958904109589041,0.009194970913867518,0.0958904109589041,0.016780821917808216
SHB,svm,valid,0.0967741935483871,0.009365244536940686,0.0967741935483871,0.017077798861480076
SHB,transformer,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
SHB,transformer,train,0.9863013698630136,0.988013698630137,0.9863013698630136,0.9867057060197287
SHB,transformer,valid,0.9032258064516129,0.8158168574401664,0.9032258064516129,0.8572990705303445
