Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
SPD,logistic_regression,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
SPD,logistic_regression,train,1.0,1.0,1.0,1.0
SPD,logistic_regression,valid,1.0,1.0,1.0,1.0
SPD,lstm,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
SPD,lstm,train,1.0,1.0,1.0,1.0
SPD,lstm,valid,1.0,1.0,1.0,1.0
SPD,svm,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
SPD,svm,train,1.0,1.0,1.0,1.0
SPD,svm,valid,1.0,1.0,1.0,1.0
SPD,transformer,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
SPD,transformer,train,1.0,1.0,1.0,1.0
SPD,transformer,valid,1.0,1.0,1.0,1.0
