Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
V12,logistic_regression,test,0.5172413793103449,0.267538644470868,0.5172413793103449,0.3526645768025078
V12,logistic_regression,train,0.8469387755102041,0.8541666666666667,0.8469387755102041,0.8461538461538463
V12,logistic_regression,valid,0.6129032258064516,0.3756503642039542,0.6129032258064516,0.4658064516129032
V12,lstm,test,0.5172413793103449,0.267538644470868,0.5172413793103449,0.3526645768025078
V12,lstm,train,0.6530612244897959,0.6553911205073996,0.6530612244897959,0.6517558528428093
V12,lstm,valid,0.6129032258064516,0.3756503642039542,0.6129032258064516,0.4658064516129032
V12,svm,test,0.4827586206896552,0.23305588585017836,0.4827586206896552,0.3143544506816359
V12,svm,train,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
V12,svm,valid,0.8387096774193549,0.8861480075901328,0.8387096774193549,0.8403950517409917
V12,transformer,test,0.5172413793103449,0.267538644470868,0.5172413793103449,0.3526645768025078
V12,transformer,train,0.5,0.25,0.5,0.3333333333333333
V12,transformer,valid,0.6129032258064516,0.3756503642039542,0.6129032258064516,0.4658064516129032
