Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
VIE,logistic_regression,test,0.41379310344827586,0.8912466843501327,0.41379310344827586,0.5651808242220353
VIE,logistic_regression,train,0.58,0.5821018062397373,0.58,0.5772946859903382
VIE,logistic_regression,valid,0.41935483870967744,1.0,0.41935483870967744,0.5909090909090909
VIE,lstm,test,0.9655172413793104,0.9322235434007135,0.9655172413793104,0.9485783424077435
VIE,lstm,train,0.5,0.25,0.5,0.33333333333333326
VIE,lstm,valid,1.0,1.0,1.0,1.0
VIE,svm,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
VIE,svm,train,0.8,0.8446691176470589,0.8,0.7933030177759405
VIE,svm,valid,0.0,0.0,0.0,0.0
VIE,transformer,test,0.7931034482758621,0.9252873563218391,0.7931034482758621,0.8541114058355437
VIE,transformer,train,0.62,0.7491694352159469,0.62,0.5634191176470589
VIE,transformer,valid,0.8064516129032258,1.0,0.8064516129032258,0.8928571428571429
