Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
VIG,logistic_regression,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
VIG,logistic_regression,train,0.9315068493150684,0.8677050103208857,0.9315068493150684,0.8984746915379382
VIG,logistic_regression,valid,0.967741935483871,0.9365244536940687,0.967741935483871,0.9518773135906927
VIG,lstm,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
VIG,lstm,train,0.9315068493150684,0.8677050103208857,0.9315068493150684,0.8984746915379382
VIG,lstm,valid,0.967741935483871,0.9365244536940687,0.967741935483871,0.9518773135906927
VIG,svm,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
VIG,svm,train,0.9726027397260274,0.9804305283757339,0.9726027397260274,0.9746813875826348
VIG,svm,valid,0.967741935483871,0.9365244536940687,0.967741935483871,0.9518773135906927
VIG,transformer,test,0.034482758620689655,0.0011890606420927466,0.034482758620689655,0.0022988505747126436
VIG,transformer,train,0.9315068493150684,0.8677050103208857,0.9315068493150684,0.8984746915379382
VIG,transformer,valid,0.967741935483871,0.9365244536940687,0.967741935483871,0.9518773135906927
