Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
AAM,logistic_regression,test,0.5609756097560976,0.45,0.5625,0.5
AAM,logistic_regression,train,0.738,0.7333333333333333,0.748,0.7405940594059406
AAM,logistic_regression,valid,0.5222222222222223,0.6,0.47058823529411764,0.5274725274725275
AAM,lstm,test,0.43902439024390244,0.34782608695652173,0.5,0.41025641025641024
AAM,lstm,train,0.568,0.5702479338842975,0.552,0.5609756097560976
AAM,lstm,valid,0.43333333333333335,0.0,0.0,0.0
AAM,svm,test,0.43902439024390244,0.3939393939393939,0.8125,0.5306122448979592
AAM,svm,train,1.0,1.0,1.0,1.0
AAM,svm,valid,0.43333333333333335,0.5,0.43137254901960786,0.4631578947368421
AAM,transformer,test,0.5121951219512195,0.4,0.5,0.4444444444444444
AAM,transformer,train,0.558,0.5573122529644269,0.564,0.5606361829025845
AAM,transformer,valid,0.43333333333333335,0.0,0.0,0.0
