Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
BBC,logistic_regression,test,0.6341463414634146,0.6956521739130435,0.6666666666666666,0.6808510638297872
BBC,logistic_regression,train,0.7262357414448669,0.7211895910780669,0.7376425855513308,0.7293233082706767
BBC,logistic_regression,valid,0.45555555555555555,0.47368421052631576,0.3829787234042553,0.4235294117647059
BBC,lstm,test,0.4146341463414634,0.0,0.0,0.0
BBC,lstm,train,0.5513307984790875,0.5818181818181818,0.3650190114068441,0.4485981308411215
BBC,lstm,valid,0.45555555555555555,0.375,0.06382978723404255,0.10909090909090909
BBC,svm,test,0.5853658536585366,0.5853658536585366,1.0,0.7384615384615385
BBC,svm,train,1.0,1.0,1.0,1.0
BBC,svm,valid,0.5333333333333333,0.5280898876404494,1.0,0.6911764705882353
BBC,transformer,test,0.43902439024390244,1.0,0.041666666666666664,0.08
BBC,transformer,train,0.526615969581749,0.5522388059701493,0.2813688212927757,0.37279596977329976
BBC,transformer,valid,0.45555555555555555,0.3333333333333333,0.0425531914893617,0.07547169811320754
