Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
CAN,logistic_regression,test,0.5853658536585366,0.7777777777777778,0.65625,0.711864406779661
CAN,logistic_regression,train,0.7331189710610932,0.7441077441077442,0.7106109324758842,0.7269736842105263
CAN,logistic_regression,valid,0.4222222222222222,0.5957446808510638,0.45901639344262296,0.5185185185185185
CAN,lstm,test,0.21951219512195122,0.0,0.0,0.0
CAN,lstm,train,0.5498392282958199,0.539440203562341,0.6816720257234726,0.6022727272727273
CAN,lstm,valid,0.3111111111111111,0.0,0.0,0.0
CAN,svm,test,0.7804878048780488,0.7804878048780488,1.0,0.8767123287671232
CAN,svm,train,1.0,1.0,1.0,1.0
CAN,svm,valid,0.6777777777777778,0.6777777777777778,1.0,0.8079470198675497
CAN,transformer,test,0.21951219512195122,0.0,0.0,0.0
CAN,transformer,train,0.5,0.0,0.0,0.0
CAN,transformer,valid,0.32222222222222224,0.0,0.0,0.0
