Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
CMI,logistic_regression,test,0.3902439024390244,0.6428571428571429,0.3103448275862069,0.4186046511627907
CMI,logistic_regression,train,0.5472727272727272,0.5467625899280576,0.5527272727272727,0.5497287522603979
CMI,logistic_regression,valid,0.4777777777777778,0.68,0.5230769230769231,0.591304347826087
CMI,lstm,test,0.7073170731707317,0.717948717948718,0.9655172413793104,0.8235294117647058
CMI,lstm,train,0.6145454545454545,0.6863905325443787,0.4218181818181818,0.5225225225225225
CMI,lstm,valid,0.6333333333333333,0.82,0.6307692307692307,0.7130434782608696
CMI,svm,test,0.7073170731707317,0.7073170731707317,1.0,0.8285714285714286
CMI,svm,train,1.0,1.0,1.0,1.0
CMI,svm,valid,0.7222222222222222,0.7222222222222222,1.0,0.8387096774193549
CMI,transformer,test,0.7073170731707317,0.7073170731707317,1.0,0.8285714285714286
CMI,transformer,train,0.6218181818181818,0.6634146341463415,0.49454545454545457,0.5666666666666667
CMI,transformer,valid,0.7,0.7261904761904762,0.9384615384615385,0.8187919463087249
