Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
CMX,logistic_regression,test,0.5365853658536586,0.0,0.0,0.0
CMX,logistic_regression,train,0.552,0.5550847457627118,0.524,0.5390946502057613
CMX,logistic_regression,valid,0.43333333333333335,0.0,0.0,0.0
CMX,lstm,test,0.5853658536585366,0.5384615384615384,0.7368421052631579,0.6222222222222222
CMX,lstm,train,0.56,0.5524475524475524,0.632,0.5895522388059702
CMX,lstm,valid,0.4888888888888889,0.6,0.29411764705882354,0.39473684210526316
CMX,svm,test,0.5121951219512195,0.48,0.631578947368421,0.5454545454545454
CMX,svm,train,0.804,0.804,0.804,0.804
CMX,svm,valid,0.4666666666666667,0.5306122448979592,0.5098039215686274,0.52
CMX,transformer,test,0.5853658536585366,0.5454545454545454,0.631578947368421,0.5853658536585366
CMX,transformer,train,0.548,0.5394736842105263,0.656,0.592057761732852
CMX,transformer,valid,0.5,0.65,0.2549019607843137,0.36619718309859156
