Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
DC2,logistic_regression,test,0.5121951219512195,0.625,0.4166666666666667,0.5
DC2,logistic_regression,train,0.6586538461538461,0.6571428571428571,0.6634615384615384,0.6602870813397129
DC2,logistic_regression,valid,0.5555555555555556,0.631578947368421,0.48,0.5454545454545454
DC2,lstm,test,0.3902439024390244,0.4,0.08333333333333333,0.13793103448275862
DC2,lstm,train,0.657051282051282,0.6842105263157895,0.5833333333333334,0.629757785467128
DC2,lstm,valid,0.5222222222222223,0.64,0.32,0.4266666666666667
DC2,svm,test,0.5853658536585366,0.5853658536585366,1.0,0.7384615384615385
DC2,svm,train,1.0,1.0,1.0,1.0
DC2,svm,valid,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143
DC2,transformer,test,0.4146341463414634,0.0,0.0,0.0
DC2,transformer,train,0.6522435897435898,0.7411167512690355,0.46794871794871795,0.5736738703339882
DC2,transformer,valid,0.5,0.7272727272727273,0.16,0.26229508196721313
