Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
DLG,logistic_regression,test,0.5365853658536586,0.5185185185185185,0.7,0.5957446808510638
DLG,logistic_regression,train,0.7046413502109705,0.7046413502109705,0.7046413502109705,0.7046413502109705
DLG,logistic_regression,valid,0.5333333333333333,0.4897959183673469,0.5853658536585366,0.5333333333333333
DLG,lstm,test,0.5365853658536586,0.6666666666666666,0.1,0.17391304347826086
DLG,lstm,train,0.5379746835443038,0.5535714285714286,0.3924050632911392,0.45925925925925926
DLG,lstm,valid,0.4444444444444444,0.40816326530612246,0.4878048780487805,0.4444444444444444
DLG,svm,test,0.4878048780487805,0.48,0.6,0.5333333333333333
DLG,svm,train,1.0,1.0,1.0,1.0
DLG,svm,valid,0.4111111111111111,0.3695652173913043,0.4146341463414634,0.39080459770114945
DLG,transformer,test,0.4878048780487805,0.4,0.1,0.16
DLG,transformer,train,0.5210970464135021,0.5568181818181818,0.20675105485232068,0.30153846153846153
DLG,transformer,valid,0.5333333333333333,0.47619047619047616,0.24390243902439024,0.3225806451612903
