Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
GER,logistic_regression,test,0.8292682926829268,0.85,0.9714285714285714,0.9066666666666666
GER,logistic_regression,train,0.9287257019438445,0.9277899343544858,1.0,0.9625425652667423
GER,logistic_regression,valid,0.8222222222222222,0.8390804597701149,0.9733333333333334,0.9012345679012346
GER,lstm,test,0.8536585365853658,0.8536585365853658,1.0,0.9210526315789473
GER,lstm,train,0.9222462203023758,0.9254385964912281,0.9952830188679245,0.9590909090909091
GER,lstm,valid,0.8,0.8904109589041096,0.8666666666666667,0.8783783783783784
GER,svm,test,0.5365853658536586,0.8076923076923077,0.6,0.6885245901639344
GER,svm,train,0.9395248380129589,0.9380530973451328,1.0,0.9680365296803652
GER,svm,valid,0.7777777777777778,0.9230769230769231,0.8,0.8571428571428571
GER,transformer,test,0.7560975609756098,0.8571428571428571,0.8571428571428571,0.8571428571428571
GER,transformer,train,0.9222462203023758,0.9273127753303965,0.9929245283018868,0.958997722095672
GER,transformer,valid,0.8,0.8904109589041096,0.8666666666666667,0.8783783783783784
