Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
HDC,logistic_regression,test,0.4878048780487805,0.4864864864864865,0.9,0.631578947368421
HDC,logistic_regression,train,0.6856060606060606,0.689922480620155,0.6742424242424242,0.6819923371647509
HDC,logistic_regression,valid,0.5333333333333333,0.56,0.8235294117647058,0.6666666666666666
HDC,lstm,test,0.5121951219512195,0.0,0.0,0.0
HDC,lstm,train,0.509469696969697,0.5862068965517241,0.06439393939393939,0.11604095563139932
HDC,lstm,valid,0.43333333333333335,0.5,0.09803921568627451,0.16393442622950818
HDC,svm,test,0.5365853658536586,0.5294117647058824,0.45,0.4864864864864865
HDC,svm,train,1.0,1.0,1.0,1.0
HDC,svm,valid,0.4444444444444444,0.5172413793103449,0.29411764705882354,0.375
HDC,transformer,test,0.43902439024390244,0.2857142857142857,0.1,0.14814814814814814
HDC,transformer,train,0.5170454545454546,0.5957446808510638,0.10606060606060606,0.18006430868167203
HDC,transformer,valid,0.3888888888888889,0.4444444444444444,0.3137254901960784,0.367816091954023
