Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
KSD,logistic_regression,test,0.43902439024390244,0.5333333333333333,0.3333333333333333,0.41025641025641024
KSD,logistic_regression,train,0.6040955631399317,0.6196078431372549,0.5392491467576792,0.5766423357664233
KSD,logistic_regression,valid,0.4444444444444444,0.5,0.3,0.375
KSD,lstm,test,0.4878048780487805,0.5454545454545454,0.75,0.631578947368421
KSD,lstm,train,0.658703071672355,0.689795918367347,0.5767918088737202,0.6282527881040892
KSD,lstm,valid,0.5111111111111111,0.5384615384615384,0.84,0.65625
KSD,svm,test,0.5853658536585366,0.5853658536585366,1.0,0.7384615384615385
KSD,svm,train,1.0,1.0,1.0,1.0
KSD,svm,valid,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143
KSD,transformer,test,0.4146341463414634,0.0,0.0,0.0
KSD,transformer,train,0.5443686006825939,0.696969696969697,0.15699658703071673,0.2562674094707521
KSD,transformer,valid,0.4444444444444444,0.0,0.0,0.0
