Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
NGC,logistic_regression,test,0.6341463414634146,0.9259259259259259,0.6578947368421053,0.7692307692307693
NGC,logistic_regression,train,0.7737003058103975,0.7655786350148368,0.7889908256880734,0.7771084337349398
NGC,logistic_regression,valid,0.5444444444444444,0.7419354838709677,0.647887323943662,0.6917293233082706
NGC,lstm,test,0.6829268292682927,0.9629629629629629,0.6842105263157895,0.8
NGC,lstm,train,0.7339449541284404,0.744408945686901,0.7125382262996942,0.728125
NGC,lstm,valid,0.6444444444444445,0.782608695652174,0.7605633802816901,0.7714285714285715
NGC,svm,test,0.926829268292683,0.926829268292683,1.0,0.9620253164556962
NGC,svm,train,1.0,1.0,1.0,1.0
NGC,svm,valid,0.7888888888888889,0.7888888888888889,1.0,0.8819875776397516
NGC,transformer,test,0.8048780487804879,0.9166666666666666,0.868421052631579,0.8918918918918919
NGC,transformer,train,0.5902140672782875,0.6685714285714286,0.3577981651376147,0.46613545816733065
NGC,transformer,valid,0.43333333333333335,0.8333333333333334,0.352112676056338,0.49504950495049505
