Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
PCT,logistic_regression,test,0.5609756097560976,0.6190476190476191,0.5652173913043478,0.5909090909090909
PCT,logistic_regression,train,0.775,0.7704918032786885,0.7833333333333333,0.7768595041322314
PCT,logistic_regression,valid,0.5111111111111111,0.6041666666666666,0.5370370370370371,0.5686274509803921
PCT,lstm,test,0.5609756097560976,0.5609756097560976,1.0,0.71875
PCT,lstm,train,0.5,0.5,1.0,0.6666666666666666
PCT,lstm,valid,0.6,0.6,1.0,0.75
PCT,svm,test,0.5609756097560976,0.5609756097560976,1.0,0.71875
PCT,svm,train,1.0,1.0,1.0,1.0
PCT,svm,valid,0.6,0.6,1.0,0.75
PCT,transformer,test,0.43902439024390244,0.0,0.0,0.0
PCT,transformer,train,0.5,0.0,0.0,0.0
PCT,transformer,valid,0.4,0.0,0.0,0.0
