Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
PDC,logistic_regression,test,0.5609756097560976,0.5714285714285714,0.5714285714285714,0.5714285714285714
PDC,logistic_regression,train,0.7523659305993691,0.7515723270440252,0.7539432176656151,0.752755905511811
PDC,logistic_regression,valid,0.5056179775280899,0.5,0.5,0.5
PDC,lstm,test,0.4878048780487805,0.0,0.0,0.0
PDC,lstm,train,0.5883280757097792,0.5838323353293413,0.6151419558359621,0.5990783410138248
PDC,lstm,valid,0.5056179775280899,0.5,0.022727272727272728,0.043478260869565216
PDC,svm,test,0.5121951219512195,0.5121951219512195,1.0,0.6774193548387096
PDC,svm,train,1.0,1.0,1.0,1.0
PDC,svm,valid,0.4943820224719101,0.4943820224719101,1.0,0.6616541353383458
PDC,transformer,test,0.4878048780487805,0.0,0.0,0.0
PDC,transformer,train,0.5094637223974764,0.8,0.025236593059936908,0.04892966360856269
PDC,transformer,valid,0.5056179775280899,0.0,0.0,0.0
