Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
POV,logistic_regression,test,0.4634146341463415,0.55,0.4583333333333333,0.5
POV,logistic_regression,train,0.7737003058103975,0.7841269841269841,0.7553516819571865,0.7694704049844237
POV,logistic_regression,valid,0.4111111111111111,0.5,0.32075471698113206,0.39080459770114945
POV,lstm,test,0.4146341463414634,0.0,0.0,0.0
POV,lstm,train,0.6850152905198776,0.6486486486486487,0.8073394495412844,0.7193460490463215
POV,lstm,valid,0.43333333333333335,0.625,0.09433962264150944,0.16393442622950818
POV,svm,test,0.5853658536585366,0.5853658536585366,1.0,0.7384615384615385
POV,svm,train,1.0,1.0,1.0,1.0
POV,svm,valid,0.5888888888888889,0.5888888888888889,1.0,0.7412587412587412
POV,transformer,test,0.4146341463414634,0.0,0.0,0.0
POV,transformer,train,0.5902140672782875,0.5645514223194749,0.7889908256880734,0.6581632653061225
POV,transformer,valid,0.4111111111111111,0.0,0.0,0.0
