Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
PPC,logistic_regression,test,0.5609756097560976,0.4375,0.4375,0.4375
PPC,logistic_regression,train,0.568,0.5611510791366906,0.624,0.5909090909090909
PPC,logistic_regression,valid,0.4777777777777778,0.5365853658536586,0.44,0.4835164835164835
PPC,lstm,test,0.6097560975609756,0.0,0.0,0.0
PPC,lstm,train,0.572,0.6285714285714286,0.352,0.4512820512820513
PPC,lstm,valid,0.45555555555555555,0.5263157894736842,0.2,0.2898550724637681
PPC,svm,test,0.4634146341463415,0.38461538461538464,0.625,0.47619047619047616
PPC,svm,train,0.774,0.7773279352226721,0.768,0.772635814889336
PPC,svm,valid,0.5555555555555556,0.5961538461538461,0.62,0.6078431372549019
PPC,transformer,test,0.5365853658536586,0.42857142857142855,0.5625,0.4864864864864865
PPC,transformer,train,0.576,0.5805084745762712,0.548,0.5637860082304527
PPC,transformer,valid,0.3888888888888889,0.41379310344827586,0.24,0.3037974683544304
