Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
PSL,logistic_regression,test,0.5365853658536586,0.0,0.0,0.0
PSL,logistic_regression,train,0.6742671009771987,0.7535545023696683,0.5179153094462541,0.6138996138996139
PSL,logistic_regression,valid,0.5444444444444444,0.625,0.2222222222222222,0.32786885245901637
PSL,lstm,test,0.4878048780487805,0.375,0.15789473684210525,0.2222222222222222
PSL,lstm,train,0.6742671009771987,0.7923497267759563,0.4723127035830619,0.5918367346938775
PSL,lstm,valid,0.5222222222222223,0.5416666666666666,0.28888888888888886,0.37681159420289856
PSL,svm,test,0.4634146341463415,0.4117647058823529,0.3684210526315789,0.3888888888888889
PSL,svm,train,0.8566775244299675,0.8566775244299675,0.8566775244299675,0.8566775244299675
PSL,svm,valid,0.5333333333333333,0.5428571428571428,0.4222222222222222,0.475
PSL,transformer,test,0.5121951219512195,0.4,0.10526315789473684,0.16666666666666666
PSL,transformer,train,0.6661237785016286,0.9473684210526315,0.3517915309446254,0.5130641330166271
PSL,transformer,valid,0.5333333333333333,0.5882352941176471,0.2222222222222222,0.3225806451612903
