Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
PVA,logistic_regression,test,0.6585365853658537,0.9629629629629629,0.6666666666666666,0.7878787878787878
PVA,logistic_regression,train,0.7736486486486487,0.7832167832167832,0.7567567567567568,0.7697594501718213
PVA,logistic_regression,valid,0.5,0.68,0.5396825396825397,0.6017699115044248
PVA,lstm,test,0.9512195121951219,0.9512195121951219,1.0,0.975
PVA,lstm,train,0.6402027027027027,0.6217008797653959,0.7162162162162162,0.6656200941915228
PVA,lstm,valid,0.4666666666666667,0.6744186046511628,0.4603174603174603,0.5471698113207547
PVA,svm,test,0.9512195121951219,0.9512195121951219,1.0,0.975
PVA,svm,train,1.0,1.0,1.0,1.0
PVA,svm,valid,0.7,0.7,1.0,0.8235294117647058
PVA,transformer,test,0.9512195121951219,0.9512195121951219,1.0,0.975
PVA,transformer,train,0.6537162162162162,0.6382978723404256,0.7094594594594594,0.672
PVA,transformer,valid,0.4111111111111111,0.6470588235294118,0.3492063492063492,0.4536082474226804
