Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
PVR,logistic_regression,test,0.7804878048780488,0.7804878048780488,1.0,0.8767123287671232
PVR,logistic_regression,train,0.5798045602605864,0.5753846153846154,0.6091205211726385,0.5917721518987342
PVR,logistic_regression,valid,0.6333333333333333,0.675,0.8852459016393442,0.7659574468085106
PVR,lstm,test,0.7804878048780488,0.7804878048780488,1.0,0.8767123287671232
PVR,lstm,train,0.6742671009771987,0.6877192982456141,0.6384364820846905,0.6621621621621622
PVR,lstm,valid,0.6888888888888889,0.6896551724137931,0.9836065573770492,0.8108108108108109
PVR,svm,test,0.7804878048780488,0.7804878048780488,1.0,0.8767123287671232
PVR,svm,train,1.0,1.0,1.0,1.0
PVR,svm,valid,0.6777777777777778,0.6777777777777778,1.0,0.8079470198675497
PVR,transformer,test,0.7804878048780488,0.7804878048780488,1.0,0.8767123287671232
PVR,transformer,train,0.6205211726384365,0.6516393442622951,0.5179153094462541,0.5771324863883848
PVR,transformer,valid,0.6777777777777778,0.7105263157894737,0.8852459016393442,0.7883211678832117
