Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
SD1,logistic_regression,test,0.9512195121951219,0.9512195121951219,1.0,0.975
SD1,logistic_regression,train,0.8777173913043478,0.8777173913043478,0.8777173913043478,0.8777173913043478
SD1,logistic_regression,valid,0.7444444444444445,0.8507462686567164,0.8142857142857143,0.8321167883211679
SD1,lstm,test,0.9512195121951219,0.9512195121951219,1.0,0.975
SD1,lstm,train,0.7459239130434783,0.7493112947658402,0.7391304347826086,0.7441860465116279
SD1,lstm,valid,0.7444444444444445,0.8133333333333334,0.8714285714285714,0.8413793103448276
SD1,svm,test,0.9512195121951219,0.9512195121951219,1.0,0.975
SD1,svm,train,0.9279891304347826,0.9338842975206612,0.9211956521739131,0.9274965800273598
SD1,svm,valid,0.7777777777777778,0.8571428571428571,0.8571428571428571,0.8571428571428571
SD1,transformer,test,0.9512195121951219,0.9512195121951219,1.0,0.975
SD1,transformer,train,0.7391304347826086,0.7404371584699454,0.7364130434782609,0.7384196185286104
SD1,transformer,valid,0.7555555555555555,0.7926829268292683,0.9285714285714286,0.8552631578947368
