Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
SDT,logistic_regression,test,0.5365853658536586,0.5416666666666666,0.6190476190476191,0.5777777777777777
SDT,logistic_regression,train,0.7490566037735849,0.746268656716418,0.7547169811320755,0.7504690431519699
SDT,logistic_regression,valid,0.5617977528089888,0.5925925925925926,0.6530612244897959,0.6213592233009708
SDT,lstm,test,0.6341463414634146,0.5882352941176471,0.9523809523809523,0.7272727272727273
SDT,lstm,train,0.5584905660377358,0.5786802030456852,0.43018867924528303,0.4935064935064935
SDT,lstm,valid,0.5056179775280899,0.5316455696202531,0.8571428571428571,0.65625
SDT,svm,test,0.6097560975609756,0.6,0.7142857142857143,0.6521739130434783
SDT,svm,train,0.7943396226415095,0.812,0.7660377358490567,0.7883495145631068
SDT,svm,valid,0.5280898876404494,0.5714285714285714,0.5714285714285714,0.5714285714285714
SDT,transformer,test,0.43902439024390244,0.46875,0.7142857142857143,0.5660377358490566
SDT,transformer,train,0.5716981132075472,0.594059405940594,0.4528301886792453,0.5139186295503212
SDT,transformer,valid,0.5393258426966292,0.5606060606060606,0.7551020408163265,0.6434782608695652
