Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
STC,logistic_regression,test,0.5853658536585366,0.6842105263157895,0.5416666666666666,0.6046511627906976
STC,logistic_regression,train,0.7906574394463668,0.7876712328767124,0.7958477508650519,0.7917383820998278
STC,logistic_regression,valid,0.5222222222222223,0.6181818181818182,0.6071428571428571,0.6126126126126126
STC,lstm,test,0.4146341463414634,0.0,0.0,0.0
STC,lstm,train,0.5,0.0,0.0,0.0
STC,lstm,valid,0.37777777777777777,0.0,0.0,0.0
STC,svm,test,0.5853658536585366,0.5853658536585366,1.0,0.7384615384615385
STC,svm,train,1.0,1.0,1.0,1.0
STC,svm,valid,0.6222222222222222,0.6222222222222222,1.0,0.7671232876712328
STC,transformer,test,0.4146341463414634,0.0,0.0,0.0
STC,transformer,train,0.5380622837370242,0.72,0.1245674740484429,0.21238938053097345
STC,transformer,valid,0.37777777777777777,0.0,0.0,0.0
