Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
TVG,logistic_regression,test,0.9512195121951219,0.9512195121951219,1.0,0.975
TVG,logistic_regression,train,0.9848812095032398,0.9848812095032398,1.0,0.9923830250272034
TVG,logistic_regression,valid,0.9333333333333333,0.9333333333333333,1.0,0.9655172413793104
TVG,lstm,test,0.9512195121951219,0.9512195121951219,1.0,0.975
TVG,lstm,train,0.9848812095032398,0.9848812095032398,1.0,0.9923830250272034
TVG,lstm,valid,0.9333333333333333,0.9333333333333333,1.0,0.9655172413793104
TVG,svm,test,0.9512195121951219,0.9512195121951219,1.0,0.975
TVG,svm,train,0.9848812095032398,0.9848812095032398,1.0,0.9923830250272034
TVG,svm,valid,0.9333333333333333,0.9333333333333333,1.0,0.9655172413793104
TVG,transformer,test,0.9512195121951219,0.9512195121951219,1.0,0.975
TVG,transformer,train,0.9848812095032398,0.9848812095032398,1.0,0.9923830250272034
TVG,transformer,valid,0.9333333333333333,0.9333333333333333,1.0,0.9655172413793104
