Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
VE1,logistic_regression,test,0.4878048780487805,0.5428571428571428,0.7916666666666666,0.6440677966101694
VE1,logistic_regression,train,0.6579925650557621,0.6411960132890365,0.7174721189591078,0.6771929824561403
VE1,logistic_regression,valid,0.5666666666666667,0.5647058823529412,0.96,0.7111111111111111
VE1,lstm,test,0.5853658536585366,0.6,0.875,0.711864406779661
VE1,lstm,train,0.6468401486988847,0.659919028340081,0.6059479553903345,0.6317829457364341
VE1,lstm,valid,0.6111111111111112,0.5925925925925926,0.96,0.732824427480916
VE1,svm,test,0.5365853658536586,0.5806451612903226,0.75,0.6545454545454545
VE1,svm,train,0.7509293680297398,0.7335640138408305,0.7881040892193308,0.7598566308243727
VE1,svm,valid,0.5444444444444444,0.5584415584415584,0.86,0.6771653543307087
VE1,transformer,test,0.4878048780487805,0.5483870967741935,0.7083333333333334,0.6181818181818182
VE1,transformer,train,0.6394052044609665,0.6595744680851063,0.5762081784386617,0.6150793650793651
VE1,transformer,valid,0.5777777777777777,0.573170731707317,0.94,0.7121212121212122
