Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
VHG,logistic_regression,test,0.4146341463414634,0.5238095238095238,0.44,0.4782608695652174
VHG,logistic_regression,train,0.7608695652173914,0.7727272727272727,0.7391304347826086,0.7555555555555555
VHG,logistic_regression,valid,0.45555555555555555,0.5306122448979592,0.5,0.5148514851485149
VHG,lstm,test,0.5365853658536586,0.6363636363636364,0.56,0.5957446808510638
VHG,lstm,train,0.6027667984189723,0.6111111111111112,0.5652173913043478,0.5872689938398358
VHG,lstm,valid,0.4777777777777778,0.6190476190476191,0.25,0.3561643835616438
VHG,svm,test,0.3902439024390244,0.5,0.36,0.4186046511627907
VHG,svm,train,0.7865612648221344,0.803347280334728,0.758893280632411,0.7804878048780488
VHG,svm,valid,0.4,0.48,0.46153846153846156,0.47058823529411764
VHG,transformer,test,0.3902439024390244,0.5,0.12,0.1935483870967742
VHG,transformer,train,0.6086956521739131,0.6222222222222222,0.5533596837944664,0.5857740585774058
VHG,transformer,valid,0.4111111111111111,0.4666666666666667,0.1346153846153846,0.208955223880597
