Ticker,Model,Dataset,Accuracy,Precision,Recall,F1
VTO,logistic_regression,test,0.4878048780487805,0.375,0.35294117647058826,0.36363636363636365
VTO,logistic_regression,train,0.696969696969697,0.7,0.6893939393939394,0.6946564885496184
VTO,logistic_regression,valid,0.5222222222222223,0.5957446808510638,0.5384615384615384,0.5656565656565656
VTO,lstm,test,0.4146341463414634,0.4146341463414634,1.0,0.5862068965517241
VTO,lstm,train,0.5,0.5,1.0,0.6666666666666666
VTO,lstm,valid,0.5777777777777777,0.5777777777777777,1.0,0.7323943661971831
VTO,svm,test,0.5853658536585366,0.5,0.5882352941176471,0.5405405405405406
VTO,svm,train,0.7878787878787878,0.804,0.7613636363636364,0.7821011673151751
VTO,svm,valid,0.5,0.559322033898305,0.6346153846153846,0.5945945945945946
VTO,transformer,test,0.4146341463414634,0.41025641025641024,0.9411764705882353,0.5714285714285714
VTO,transformer,train,0.5738636363636364,0.5724907063197026,0.5833333333333334,0.5778611632270169
VTO,transformer,valid,0.5444444444444444,0.569620253164557,0.8653846153846154,0.6870229007633588
